Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Young Platform,https://www.crunchbase.com/organization/young-platform,2022-06-13,11-50,2018-06-12,day,"Blockchain, Cryptocurrency, FinTech","Turin, Piemonte, Italy","Young Platform is a brand-new cryptocurrency exchange designed for the next generation of investors. It is safe, quick and easy to use.","2,046",$1M to $10M,Active,For Profit,https://youngplatform.com/,https://twitter.com/youngplatform,https://www.facebook.com/youngplatformCME,https://www.linkedin.com/company/youngplatformcme/,,"Young Platform is a brand-new cryptocurrency exchange that allows you to buy and sell digital assets (e.g. Bitcoin, Ethereum) with FIAT money (Euros and Pounds) safely, quickly and easily!",,,16000000,EUR,16664271,Series A,20577480,EUR,22182053,16000000,EUR,16664271,Series A,Early Stage Venture,"United Ventures, Azimut Holding, Banca Sella Group, Pietro Invernizzi, Massimo Ciociola",,,10,"990,480",support@youngplatform.com,
Run:AI,https://www.crunchbase.com/organization/run-ai,2022-03-07,11-50,2018-01-01,year,"Artificial Intelligence, Computer, E-Learning, Hardware, Software, Training","Tel Aviv, Tel Aviv, Israel",Run:AI develops an automated distributed training technology that virtualizes and accelerates deep learning.,"2,050",$1M to $10M,Active,For Profit,https://www.run.ai/,https://twitter.com/runailabs,https://www.facebook.com/runailabs/,https://www.linkedin.com/company/runailabs/,,"Run:AI has built the world’s first compute-management platform for AI. By centralizing and virtualizing GPU compute resources, Run:AI provides visibility and control over resource prioritization and allocation while simplifying workflows and removing infrastructure hassles for data scientists. This ensures AI projects are mapped to business goals and yields significant improvement in the productivity of data science teams, allowing them to build and train concurrent models without resource limitations. IT and research teams retain control and gain real-time visibility – including seeing and provisioning run-time, queueing, and GPU utilization of each job. A virtual pool of resources enables researchers to view and allocate compute resources across multiple sites – whether on-premises or in the cloud. The Run:AI platform is built on top of Kubernetes, enabling simple integration with leading open source frameworks. Run:AI was founded on 2018 and is headquartered in Tel-Aviv, Israel.",,,75000000,USD,75000000,Series C,118000000,USD,118000000,75000000,USD,75000000,Series C,Late Stage Venture,"Tiger Global Management, Insight Partners, S Capital, TLV Partners",,,5,"40,682",info@run.ai,
Emitwise,https://www.crunchbase.com/organization/emitwise,2022-03-30,11-50,2019-01-01,year,"Artificial Intelligence, CleanTech, GreenTech, SaaS, Supply Chain Management","London, England, United Kingdom",Emitwise is an AI-powered carbon management platform that helps businesses in tracking and managing their carbon footprint.,"2,112",Less than $1M,Active,For Profit,http://www.emitwise.com,https://twitter.com/emitwise,,https://www.linkedin.com/company/emitwise,,"Emitwise’s unique AI technology empowers companies to automatically measure, report, and reduce their carbon footprint across their operations and supply chain, future-proofing businesses for a zero-carbon world. The company is backed by top Silicon Valley investors and trusted by leading global businesses.   Emitwise's mission is to empower businesses to respond to the climate emergency, accelerating the transition to a net-zero carbon world by equipping them with all the tools they need to drive emissions cuts across their operations and supply chain.",,,9000000,EUR,10045315,Series A,16645316,USD,16645316,9000000,EUR,10045315,Series A,Early Stage Venture,"True Ventures, Social Impact Capital, Michael Pennington, Xplorer Capital, ArcTern Ventures",,,37,"2,581",stephanie@emitwise.com,+44 2921 28 7346
Triple Whale,https://www.crunchbase.com/organization/triplewhale,2022-03-24,51-100,2021-06-01,month,"Apps, Data Integration, Data Visualization, E-Commerce, Internet, Software","Jerusalem, Yerushalayim, Israel",Triple Whale is the eCommerce operating system for Shopify brands.,"2,142",,Active,For Profit,https://trytriplewhale.com/,https://twitter.com/triplewhale,https://www.facebook.com/trytriplewhale,https://www.linkedin.com/company/triple-whale/,,"Triple Whale centralizes the metrics from all the tools you use, right into your pocket. By providing the full data picture, in real-time, anywhere, we allow our customers to reclaim their time so they can focus on the important things in life.",,,24000000,USD,24000000,Series A,27700000,USD,27700000,24000000,USD,24000000,Series A,Early Stage Venture,"Elephant, NFX, Shaan Puri",,,10,"474,078",maxx@triplewhale.com,
SEBA Bank,https://www.crunchbase.com/organization/seba-crypto,2022-01-12,101-250,2018-04-01,month,"Asset Management, Banking, Blockchain, Cryptocurrency, Financial Services, FinTech","Zug, Zug, Switzerland","SEBA Bank is a cryptocurrency company that provides a seamless, secure, and easy-to-use bridge between digital and traditional assets.","2,173",$10M to $50M,Active,For Profit,http://www.seba.swiss/,https://twitter.com/weareseba,,https://www.linkedin.com/company/weareseba/,,"SEBA Bank is a cryptocurrency company that provides a seamless, secure, and easy-to-use bridge between digital and traditional assets. Its services allow customers to secure, trade, and manage cryptocurrencies, digital assets, and conventional securities all in one place. It also allows customers and clients to have access to convenient and transparent investment solutions for their crypto and traditional assets. The company was founded in 2018 and is based in Zug, Zug, Switzerland.",,,110000000,CHF,120323517,Series C,246850606,USD,246850606,110000000,CHF,120323517,Series C,Late Stage Venture,"Alameda Research, Antalpha, DeFi Technologies, Ordway Selections, Black River Asset Management",2021-07-28,,15,,,
VectivBio,https://www.crunchbase.com/organization/vectivbio,2022-06-29,11-50,2019-01-01,year,"Biotechnology, Health Care, Medical","Basel, Basel-Stadt, Switzerland",VectivBio is a biotechnology company committed to making a difference in the lives of patients suffering from serious rare diseases.,"2,234",Less than $1M,Active,For Profit,https://vectivbio.com/,https://twitter.com/vectivbio?lang=en,,https://www.linkedin.com/company/vectivbio/about/,,"VectivBio is a clinical-stage biotechnology company bringing transformational medicines to patients with serious rare diseases. They are committed to pursuing rare diseases with well-defined biology that can be targeted with best-in-disease therapies that have the potential to meaningfully transform and improve the lives of patients and their families, not just provide an incremental improvement or benefit over the standard-of-care. It was founded as a spinout from Therachon, a biotechnology company acquired by Pfizer for its program in achondroplasia. VectivBio was incorporated in 2019 and is based in Basel, Switzerland.",,,54000000,USD,54000000,Post-IPO Equity,199000000,USD,199000000,54000000,USD,54000000,Post-IPO Equity,IPO,"Bpifrance, OrbiMed, Kreos Capital, Novo Holdings, Versant Ventures",2022-04-21,,41,461,info@vectivbio.com,
Yokoy,https://www.crunchbase.com/organization/yokoy,2022-03-29,101-250,2019-01-01,year,"Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning","Zürich, Zurich, Switzerland","Yokoy is a FinTech company that offers a spend management platform that automates expense, invoicing, and credit card processing.","2,286",Less than $1M,Active,For Profit,https://www.yokoy.ai,https://twitter.com/yokoy_ai,https://www.facebook.com/weareyokoy,https://www.linkedin.com/company/yokoy,Emerging Unicorn,"Yokoy is a FinTech company that automates spend management for medium and large enterprises with artificial intelligence, combining expense management, supplier invoice management, and smart corporate cards into one single intuitive platform. Powered by machine learning and developed in its own cutting-edge AI research lab, the platform also constantly monitors individual workflows and processes to make them more efficient and impactful over time. In March 2019, Yokoy Group AG was created as Expense Robot GmbH.",,,80000000,USD,80000000,Series B,107776168,USD,107776168,80000000,USD,80000000,Series B,Early Stage Venture,"Sequoia Capital, Speedinvest, Zinal Growth, Balderton Capital, Left Lane Capital",,,114,"20,562",info@yokoy.ai,+41 43 508 15 77
in3,https://www.crunchbase.com/organization/capayable,2022-05-18,11-50,2018-09-18,day,"E-Commerce, Financial Services, FinTech, Internet, Lending, Payments","Eindhoven, Noord-Brabant, The Netherlands",in3 is a Dutch FinTech offering BNPL to consumers in three instalments with 0% interest.,"2,387",Less than $1M,Active,For Profit,https://www.payin3.eu,,https://www.facebook.com/in3payments,https://www.linkedin.com/company/in3-payments/,,"in3 is a Dutch FinTech, founded in 2018 at the heart of Eindhoven's innovative top technology region with one goal: creating ease of payment for online shoppers. We offer BNPL to consumers to pay in 3 instalments at 0% interest. At the same time, we take over the potential risks of the webshop. We are a social responsible BNPL solution which does not make money out people who pay late or don't pay but out of succesfull payments. We don't charge late fees and with our state of the art credit check we offer consuments a spending limit that doesn't get them in debts. The former company name Capayable B.V., founded in 2013, which offered Pay Later and Pay in 3 instalments is officially rebranded into in3.",,,85300000,USD,85300000,Series B,96313361,USD,96313361,85300000,USD,85300000,Series B,Early Stage Venture,"Waterfall Asset Management, Finch Capital, Force Over Mass Capital",,,18,"54,545",info@payin3.nl,
Request Finance,https://www.crunchbase.com/organization/request-finance,2022-06-09,11-50,2020-08-15,day,"Accounting, Banking, Blockchain, Cryptocurrency, Finance, FinTech, Human Resources","Paris, Ile-de-France, France",All crypto transactions in one place,"2,435",,Active,For Profit,https://request.finance,https://twitter.com/RequestdApps,,,,"Request Labs builds apps that use the Request protocol. Thus replacing the legacy banking system with an innovative alternative. To do this, the team grows the number of payment requests made through the Request Finance Apps. Companies issue and pay invoices in digital currencies, in a compliant way. Crypto adoption is growing. Looking ahead, the Request Labs team will develop a suite of disrupting finance tools. This includes fundraising, invoice financing, payroll, and expenses applications.",,,5500000,USD,5500000,Seed,5500000,USD,5500000,5500000,USD,5500000,Seed,Seed,"Animoca Brands, XAnge, Stani Kulechov, Sebastien Borget, Balderton Capital",,,5,,contact@request.finance,
Crowdvocate,https://www.crunchbase.com/organization/crowdvocate,2022-06-16,11-50,2018-01-10,day,"B2B, Communities, Marketing, Marketing Automation, Sales Automation, Software","Tel Aviv, Tel Aviv, Israel",Crowdvocate is a B2B Customer Marketing & Advocacy platform for customer led revenue influence.,"2,606",,Active,For Profit,https://crowdvocate.com,,https://www.facebook.com/crowdvocate/,https://www.linkedin.com/company/crowdvocate/,,"Crowdvocate helps B2B companies engage their customers automatically (trigger-based) throughout their life-cycle, and activate them for various activities such as advocacy, feedback, referrals, upsell, social amplification, and more. Our omnichannel and in-app modules enable frictionless customer interactions at scale, and our utilization mechanisms allow leveraging the voice of the customers (VOC) for business growth.  We provide a self-serve tool for B2B companies to leverage their crowds = their Customers, Partners, Eco-system, and Employees, and mobilize them to become brand advocates.  Our vision is to enable companies to experience the best growth tactic, at great ROI, through orchestrated & automated word-of-mouth.  Crowdvocate increases references, referrals, product reviews, ranking, loyalty, customer-based lead generation, crowd-based content creation, ideation and much more.",,,15000000,USD,15000000,Venture - Series Unknown,15000000,USD,15000000,15000000,USD,15000000,Venture - Series Unknown,,"Wing Venture Capital, Legziel Family, Vertex Ventures Israel",,,9,"3,265",advocacy@crowdvocate.com,
